Category,Activity,Start_Time
Social,Family Events,14.18
Extracurricular,Volunteer Activities,14.73
Extracurricular,Sports Practices/Games,17.66
Social,Family Events,14.89
Well-being,Meditation/Yoga,14.45
Extracurricular,Sports Practices/Games,17.79
Social,Family Events,14.85
Social,Parties/Gatherings,22.83
Personal,Doctor/Dentist Appointments,10.33
Extracurricular,Club Meetings,19.56
Personal,Errands/Chores,18.37
Social,Family Events,14.23
Extracurricular,Club Meetings,20.32
Work,Work Meetings,15.19
Social,Family Events,14.91
Extracurricular,Volunteer Activities,14.9
Well-being,Exercise,7.72
Well-being,Meditation/Yoga,13.99
Well-being,Exercise,7.37
Extracurricular,Club Meetings,19.29
Personal,Doctor/Dentist Appointments,11.33
Academic,Exams/Quizzes,18.43
Academic,Exams/Quizzes,19.94
Well-being,Exercise,7.35
Social,Parties/Gatherings,22.79
Social,Parties/Gatherings,22.52
Personal,Errands/Chores,19.91
Well-being,Exercise,7.17
Personal,Birthdays/Anniversaries,14.31
Personal,Errands/Chores,19.77
Well-being,Exercise,6.72
Academic,Exams/Quizzes,19.18
Extracurricular,Sports Practices/Games,16.46
Work,Work Meetings,15.15
Personal,Birthdays/Anniversaries,14.98
Academic,Classes/Lectures,9.98
Social,Family Events,14.19
Social,Parties/Gatherings,21.91
Academic,Exams/Quizzes,19.92
Academic,Exams/Quizzes,19.98
Social,Family Events,14.75
Social,Family Events,14.57
Extracurricular,Sports Practices/Games,16.46
Social,Parties/Gatherings,21.96
Well-being,Meditation/Yoga,14.56
Well-being,Exercise,6.91
Well-being,Meditation/Yoga,13.27
Social,Family Events,14.23
Extracurricular,Volunteer Activities,14.04
Personal,Doctor/Dentist Appointments,11.26
Well-being,Exercise,6.19
Work,Part-time Job Shifts,12.15
Personal,Birthdays/Anniversaries,14.87
Personal,Errands/Chores,19.43
Extracurricular,Club Meetings,20.59
Extracurricular,Club Meetings,19.71
Social,Parties/Gatherings,21.87
Well-being,Exercise,6.18
Extracurricular,Club Meetings,20.55
Personal,Birthdays/Anniversaries,14.37
Social,Family Events,14.21
Social,Family Events,14.11
Well-being,Exercise,7.42
Work,Work Meetings,16.11
Personal,Errands/Chores,19.91
Work,Part-time Job Shifts,10.24
Work,Work Meetings,16.74
Academic,Study Sessions,14.52
Work,Part-time Job Shifts,10.92
Personal,Errands/Chores,18.3
Social,Family Events,14.13
Extracurricular,Club Meetings,20.5
Well-being,Exercise,6.85
Extracurricular,Volunteer Activities,14.49
Academic,Study Sessions,14.61
Social,Parties/Gatherings,22.89
Work,Work Meetings,16.75
Well-being,Exercise,7.28
Extracurricular,Volunteer Activities,14.3
Academic,Exams/Quizzes,19.33
Academic,Study Sessions,14.72
Personal,Errands/Chores,18.23
Work,Work Meetings,16.67
Work,Work Meetings,16.65
Work,Work Meetings,15.25
Social,Parties/Gatherings,22.75
Personal,Doctor/Dentist Appointments,11.66
Well-being,Meditation/Yoga,14.64
Work,Work Meetings,15.67
Extracurricular,Volunteer Activities,14.6
Personal,Birthdays/Anniversaries,14.11
Extracurricular,Volunteer Activities,14.44
Social,Family Events,14.85
Work,Work Meetings,16.63
Academic,Exams/Quizzes,18.17
Work,Work Meetings,16.63
Well-being,Exercise,7.64
Academic,Exams/Quizzes,19.03
Personal,Errands/Chores,18.48
Well-being,Exercise,6.94
Extracurricular,Volunteer Activities,14.85
Extracurricular,Club Meetings,19.79
Personal,Doctor/Dentist Appointments,9.48
Personal,Doctor/Dentist Appointments,11.5
Well-being,Exercise,7.23
Extracurricular,Volunteer Activities,14.87
Work,Part-time Job Shifts,10.81
Work,Work Meetings,16.93
Academic,Classes/Lectures,10.5
Social,Parties/Gatherings,22.97
Academic,Study Sessions,14.68
Well-being,Exercise,6.85
Personal,Errands/Chores,18.78
Academic,Classes/Lectures,11.31
Work,Work Meetings,15.17
Personal,Doctor/Dentist Appointments,9.84
Well-being,Meditation/Yoga,14.94
Social,Parties/Gatherings,22.38
Work,Part-time Job Shifts,9.8
Well-being,Exercise,6.2
Social,Parties/Gatherings,21.48
Social,Parties/Gatherings,21.05
Personal,Birthdays/Anniversaries,14.2
Social,Parties/Gatherings,22.73
Extracurricular,Sports Practices/Games,16.42
Work,Part-time Job Shifts,11.03
Extracurricular,Club Meetings,20.29
Social,Parties/Gatherings,22.81
Extracurricular,Club Meetings,19.08
Work,Part-time Job Shifts,12.95
Extracurricular,Club Meetings,20.92
Social,Family Events,14.77
Well-being,Meditation/Yoga,13.07
Extracurricular,Club Meetings,20.34
Academic,Classes/Lectures,11.17
Extracurricular,Volunteer Activities,14.81
Well-being,Meditation/Yoga,14.15
Social,Family Events,14.51
Extracurricular,Sports Practices/Games,16.74
Social,Family Events,14.18
Well-being,Exercise,6.73
Academic,Study Sessions,14.82
Extracurricular,Volunteer Activities,14.75
Well-being,Meditation/Yoga,14.94
Extracurricular,Club Meetings,20.54
Social,Parties/Gatherings,21.43
Academic,Exams/Quizzes,18.96
Personal,Birthdays/Anniversaries,14.5
Social,Parties/Gatherings,22.76
Well-being,Exercise,7.28
Social,Parties/Gatherings,22.35
Extracurricular,Volunteer Activities,14.75
Extracurricular,Sports Practices/Games,17.71
Work,Work Meetings,15.14
Academic,Study Sessions,13.53
Academic,Study Sessions,13.74
Personal,Errands/Chores,19.83
Social,Parties/Gatherings,21.49
Work,Part-time Job Shifts,10.53
Academic,Exams/Quizzes,19.97
Work,Work Meetings,15.77
Social,Parties/Gatherings,22.29
Extracurricular,Volunteer Activities,14.45
Well-being,Meditation/Yoga,14.14
Personal,Doctor/Dentist Appointments,10.09
Personal,Errands/Chores,18.27
Extracurricular,Club Meetings,20.82
Well-being,Meditation/Yoga,13.35
Work,Work Meetings,16.14
Well-being,Meditation/Yoga,14.41
Personal,Doctor/Dentist Appointments,9.76
Well-being,Meditation/Yoga,14.47
Social,Family Events,14.04
Extracurricular,Club Meetings,19.59
Extracurricular,Sports Practices/Games,17.37
Social,Family Events,14.23
Social,Parties/Gatherings,22.9
Personal,Errands/Chores,18.63
Well-being,Meditation/Yoga,14.07
Extracurricular,Sports Practices/Games,17.02
Work,Work Meetings,15.56
Work,Part-time Job Shifts,11.18
Well-being,Exercise,6.06
Work,Part-time Job Shifts,9.32
Personal,Errands/Chores,18.88
Well-being,Meditation/Yoga,14.55
Work,Work Meetings,15.46
Academic,Study Sessions,13.12
Work,Work Meetings,15.86
Well-being,Exercise,7.82
Extracurricular,Volunteer Activities,14.81
Academic,Study Sessions,14.36
Well-being,Meditation/Yoga,14.5
Social,Family Events,14.61
Social,Family Events,14.75
Academic,Study Sessions,14.55
Work,Part-time Job Shifts,10.39
Well-being,Exercise,7.93
Social,Family Events,14.35
Social,Family Events,14.57
Academic,Study Sessions,13.19
Work,Part-time Job Shifts,10.16
Work,Part-time Job Shifts,10.45
Well-being,Exercise,7.28
Extracurricular,Club Meetings,19.89
Extracurricular,Volunteer Activities,14.08
Academic,Study Sessions,13.31
Academic,Exams/Quizzes,19.61
Well-being,Exercise,6.27
Work,Work Meetings,16.2
Well-being,Meditation/Yoga,14.04
Work,Work Meetings,15.75
Social,Parties/Gatherings,22.81
Well-being,Exercise,7.39
Personal,Birthdays/Anniversaries,14.46
Social,Family Events,14.57
Well-being,Exercise,7.84
Academic,Exams/Quizzes,18.63
Personal,Doctor/Dentist Appointments,10.75
Personal,Birthdays/Anniversaries,14.61
Social,Family Events,14.49
Work,Part-time Job Shifts,12.94
Work,Part-time Job Shifts,11.41
Work,Work Meetings,16.21
Work,Part-time Job Shifts,11.14
Extracurricular,Volunteer Activities,14.17
Well-being,Exercise,6.97
Well-being,Meditation/Yoga,14.28
Work,Work Meetings,15.83
Work,Part-time Job Shifts,11.04
Academic,Exams/Quizzes,19.83
Social,Parties/Gatherings,21.68
Personal,Birthdays/Anniversaries,14.02
Work,Work Meetings,15.28
Work,Part-time Job Shifts,12.06
Work,Work Meetings,15.8
Work,Work Meetings,15.56
Work,Work Meetings,16.17
Work,Work Meetings,15.29
Personal,Birthdays/Anniversaries,14.2
Extracurricular,Club Meetings,20.58
Well-being,Meditation/Yoga,14.41
Social,Parties/Gatherings,22.58
Extracurricular,Club Meetings,19.55
Social,Parties/Gatherings,22.84
Academic,Classes/Lectures,11.44
Well-being,Meditation/Yoga,14.74
Academic,Classes/Lectures,9.53
Work,Work Meetings,15.34
Academic,Classes/Lectures,8.06
Extracurricular,Sports Practices/Games,16.25
Work,Part-time Job Shifts,9.45
Social,Parties/Gatherings,21.77
Academic,Classes/Lectures,9.54
Work,Work Meetings,16.43
Academic,Classes/Lectures,9.59
Academic,Exams/Quizzes,19.93
Work,Work Meetings,15.44
Academic,Exams/Quizzes,18.67
Personal,Birthdays/Anniversaries,14.41
Extracurricular,Sports Practices/Games,17.98
Extracurricular,Sports Practices/Games,17.9
Personal,Errands/Chores,19.9
Work,Work Meetings,15.93
Personal,Errands/Chores,19.82
Personal,Birthdays/Anniversaries,14.69
Extracurricular,Club Meetings,20.45
Extracurricular,Volunteer Activities,14.45
Extracurricular,Sports Practices/Games,17.02
Extracurricular,Volunteer Activities,14.79
Well-being,Exercise,7.49
Extracurricular,Club Meetings,19.81
Academic,Exams/Quizzes,18.23
Work,Work Meetings,16.22
Social,Family Events,14.06
Social,Family Events,14.27
Social,Parties/Gatherings,22.84
Social,Family Events,14.26
Extracurricular,Club Meetings,20.01
Personal,Errands/Chores,19.94
Social,Family Events,14.32
Academic,Exams/Quizzes,18.28
Well-being,Exercise,6.85
Work,Work Meetings,15.25
Social,Parties/Gatherings,22.94
Extracurricular,Sports Practices/Games,16.43
Personal,Birthdays/Anniversaries,14.32
Work,Part-time Job Shifts,12.73
Academic,Exams/Quizzes,18.95
Academic,Exams/Quizzes,19.69
Well-being,Meditation/Yoga,13.81
Well-being,Exercise,6.0
Extracurricular,Volunteer Activities,14.96
Academic,Study Sessions,14.85
Work,Part-time Job Shifts,10.14
Work,Work Meetings,15.58
Social,Family Events,14.71
Work,Work Meetings,16.56
Academic,Study Sessions,14.08
Well-being,Meditation/Yoga,14.58
Well-being,Meditation/Yoga,13.09
Personal,Errands/Chores,18.13
Work,Work Meetings,16.55
Work,Work Meetings,16.13
Academic,Exams/Quizzes,18.35
Personal,Errands/Chores,19.05
Academic,Exams/Quizzes,19.14
Academic,Classes/Lectures,10.03
Academic,Classes/Lectures,8.15
Extracurricular,Club Meetings,19.46
Academic,Exams/Quizzes,19.96
Personal,Errands/Chores,18.04
Academic,Classes/Lectures,11.46
Work,Work Meetings,16.86
Personal,Doctor/Dentist Appointments,9.98
Well-being,Exercise,7.5
Work,Part-time Job Shifts,12.39
Personal,Doctor/Dentist Appointments,10.51
Personal,Birthdays/Anniversaries,14.99
Academic,Classes/Lectures,11.41
Personal,Errands/Chores,18.48
Well-being,Exercise,7.4
Personal,Birthdays/Anniversaries,14.62
Extracurricular,Sports Practices/Games,17.75
Personal,Doctor/Dentist Appointments,10.88
Personal,Errands/Chores,18.33
Well-being,Meditation/Yoga,13.56
Well-being,Exercise,7.41
Academic,Exams/Quizzes,19.45
Well-being,Meditation/Yoga,13.27
Academic,Classes/Lectures,11.16
Academic,Classes/Lectures,10.98
Extracurricular,Volunteer Activities,14.42
Work,Work Meetings,16.45
Well-being,Exercise,6.43
Personal,Doctor/Dentist Appointments,9.51
Academic,Study Sessions,13.26
Personal,Birthdays/Anniversaries,14.32
Work,Work Meetings,15.69
Personal,Doctor/Dentist Appointments,11.26
Extracurricular,Club Meetings,19.03
Work,Work Meetings,16.24
Extracurricular,Club Meetings,20.88
Extracurricular,Sports Practices/Games,17.07
Personal,Birthdays/Anniversaries,14.67
Personal,Doctor/Dentist Appointments,11.99
Extracurricular,Volunteer Activities,14.67
Well-being,Meditation/Yoga,13.89
Social,Parties/Gatherings,21.65
Extracurricular,Sports Practices/Games,16.83
Personal,Birthdays/Anniversaries,14.67
Personal,Errands/Chores,18.78
Well-being,Exercise,7.15
Personal,Birthdays/Anniversaries,14.69
Academic,Classes/Lectures,11.99
Personal,Errands/Chores,19.05
Social,Family Events,14.8
Work,Part-time Job Shifts,11.13
Personal,Doctor/Dentist Appointments,9.47
Extracurricular,Volunteer Activities,14.82
Academic,Study Sessions,14.17
Personal,Birthdays/Anniversaries,14.93
Extracurricular,Volunteer Activities,14.94
Personal,Errands/Chores,18.79
Social,Family Events,14.31
Well-being,Exercise,6.18
Work,Work Meetings,16.5
Social,Parties/Gatherings,21.94
Personal,Errands/Chores,18.22
Academic,Study Sessions,13.52
Personal,Errands/Chores,19.5
Well-being,Exercise,7.13
Work,Part-time Job Shifts,10.52
Social,Parties/Gatherings,22.86
Well-being,Exercise,6.36
Work,Work Meetings,16.0
Personal,Birthdays/Anniversaries,14.36
Extracurricular,Volunteer Activities,14.18
Work,Part-time Job Shifts,10.47
Extracurricular,Sports Practices/Games,17.01
Social,Family Events,14.14
Work,Part-time Job Shifts,12.28
Social,Family Events,14.24
Personal,Birthdays/Anniversaries,14.01
Well-being,Exercise,7.2
Extracurricular,Club Meetings,20.06
Personal,Birthdays/Anniversaries,14.85
Academic,Exams/Quizzes,18.78
Work,Work Meetings,16.06
Social,Parties/Gatherings,22.23
Extracurricular,Sports Practices/Games,16.14
Social,Parties/Gatherings,21.65
Extracurricular,Volunteer Activities,14.84
Personal,Doctor/Dentist Appointments,9.82
Work,Part-time Job Shifts,10.59
Social,Parties/Gatherings,21.89
Social,Family Events,14.9
Well-being,Meditation/Yoga,13.37
Academic,Study Sessions,14.58
Personal,Doctor/Dentist Appointments,10.99
Work,Part-time Job Shifts,12.97
Work,Work Meetings,16.6
Personal,Birthdays/Anniversaries,14.58
Extracurricular,Sports Practices/Games,17.35
Well-being,Meditation/Yoga,13.34
Personal,Errands/Chores,18.5
Academic,Study Sessions,13.89
Work,Work Meetings,15.07
Extracurricular,Volunteer Activities,14.9
Social,Family Events,14.91
Personal,Doctor/Dentist Appointments,9.13
Extracurricular,Volunteer Activities,14.66
Well-being,Meditation/Yoga,14.66
Academic,Classes/Lectures,11.18
Extracurricular,Volunteer Activities,14.49
Work,Part-time Job Shifts,10.84
Academic,Exams/Quizzes,19.81
Work,Part-time Job Shifts,11.92
Social,Parties/Gatherings,21.81
Work,Work Meetings,16.35
Well-being,Meditation/Yoga,14.97
Social,Parties/Gatherings,22.69
Work,Work Meetings,16.1
Well-being,Exercise,7.62
Academic,Exams/Quizzes,18.36
Social,Family Events,14.92
Academic,Study Sessions,14.87
Work,Work Meetings,15.59
Work,Work Meetings,16.54
Academic,Classes/Lectures,9.85
Well-being,Meditation/Yoga,14.6
Academic,Study Sessions,13.35
Personal,Birthdays/Anniversaries,14.55
Personal,Birthdays/Anniversaries,14.93
Work,Work Meetings,16.19
Well-being,Exercise,7.14
Academic,Exams/Quizzes,18.06
Extracurricular,Club Meetings,19.11
Personal,Birthdays/Anniversaries,14.67
Work,Work Meetings,15.37
Work,Part-time Job Shifts,12.65
Work,Work Meetings,15.47
Social,Parties/Gatherings,22.97
Well-being,Meditation/Yoga,13.01
Academic,Study Sessions,14.99
Social,Family Events,14.18
Social,Family Events,14.75
Personal,Doctor/Dentist Appointments,11.44
Extracurricular,Volunteer Activities,14.99
Work,Work Meetings,15.13
Extracurricular,Volunteer Activities,14.45
Social,Parties/Gatherings,22.58
Social,Parties/Gatherings,21.38
Academic,Exams/Quizzes,19.43
Well-being,Exercise,6.07
Personal,Errands/Chores,19.12
Personal,Errands/Chores,18.11
Academic,Exams/Quizzes,19.29
Extracurricular,Volunteer Activities,14.57
Personal,Errands/Chores,18.81
Well-being,Exercise,7.33
Extracurricular,Club Meetings,20.14
Extracurricular,Sports Practices/Games,16.04
Extracurricular,Volunteer Activities,14.61
Social,Parties/Gatherings,22.47
Personal,Errands/Chores,18.67
Social,Parties/Gatherings,22.78
Extracurricular,Volunteer Activities,14.99
Academic,Exams/Quizzes,18.21
Well-being,Exercise,7.41
Work,Work Meetings,16.76
Social,Family Events,14.42
Work,Part-time Job Shifts,12.43
Academic,Classes/Lectures,11.41
Social,Family Events,14.64
Work,Part-time Job Shifts,10.24
Extracurricular,Club Meetings,19.13
Work,Part-time Job Shifts,10.7
Well-being,Exercise,6.29
Extracurricular,Club Meetings,20.16
Well-being,Meditation/Yoga,13.77
Personal,Birthdays/Anniversaries,14.74
Social,Parties/Gatherings,22.16
Well-being,Meditation/Yoga,14.56
Social,Parties/Gatherings,21.14
Social,Parties/Gatherings,22.68
Social,Family Events,14.11
Work,Work Meetings,15.64
Personal,Errands/Chores,19.83
Extracurricular,Volunteer Activities,14.48
Well-being,Meditation/Yoga,14.43
Personal,Birthdays/Anniversaries,14.37
Personal,Errands/Chores,18.34
Well-being,Exercise,7.0
Personal,Doctor/Dentist Appointments,11.56
Academic,Exams/Quizzes,19.48
Well-being,Exercise,7.72
Well-being,Exercise,6.59
Personal,Doctor/Dentist Appointments,10.88
Work,Work Meetings,16.24
Social,Parties/Gatherings,22.07
Personal,Errands/Chores,18.56
Work,Part-time Job Shifts,12.08
Social,Parties/Gatherings,21.97
Well-being,Exercise,6.44
Personal,Birthdays/Anniversaries,14.59
Social,Parties/Gatherings,21.45
Extracurricular,Sports Practices/Games,17.53
Personal,Birthdays/Anniversaries,14.55
Well-being,Meditation/Yoga,14.19
Extracurricular,Sports Practices/Games,16.2
Academic,Exams/Quizzes,18.05
Academic,Classes/Lectures,10.32
Personal,Birthdays/Anniversaries,14.6
Work,Work Meetings,16.42
Personal,Errands/Chores,18.47
Social,Parties/Gatherings,22.61
Well-being,Meditation/Yoga,14.86
Extracurricular,Club Meetings,20.29
Well-being,Exercise,6.01
Well-being,Meditation/Yoga,14.75
Social,Parties/Gatherings,21.2
Well-being,Exercise,6.37
Work,Part-time Job Shifts,12.72
Well-being,Exercise,7.62
Well-being,Meditation/Yoga,14.52
Well-being,Exercise,6.29
Social,Family Events,14.6
Well-being,Meditation/Yoga,13.55
Social,Family Events,14.6
Academic,Classes/Lectures,11.42
Personal,Doctor/Dentist Appointments,9.95
Personal,Doctor/Dentist Appointments,10.73
Extracurricular,Sports Practices/Games,16.73
Extracurricular,Volunteer Activities,14.9
Personal,Doctor/Dentist Appointments,10.35
Extracurricular,Volunteer Activities,14.65
Academic,Classes/Lectures,11.46
Social,Parties/Gatherings,21.55
Personal,Birthdays/Anniversaries,14.57
Well-being,Meditation/Yoga,13.31
Work,Work Meetings,15.03
Personal,Errands/Chores,18.7
Work,Part-time Job Shifts,10.03
Extracurricular,Volunteer Activities,14.11
Academic,Exams/Quizzes,19.58
Well-being,Meditation/Yoga,13.81
Personal,Errands/Chores,19.87
Work,Work Meetings,16.96
Well-being,Exercise,6.08
Personal,Birthdays/Anniversaries,14.29
Extracurricular,Sports Practices/Games,17.58
Extracurricular,Volunteer Activities,14.3
Extracurricular,Volunteer Activities,14.8
Social,Family Events,14.74
Personal,Errands/Chores,19.96
Personal,Errands/Chores,19.91
Extracurricular,Volunteer Activities,14.82
Academic,Study Sessions,14.89
Academic,Study Sessions,14.21
Personal,Birthdays/Anniversaries,14.71
Work,Part-time Job Shifts,9.32
Extracurricular,Sports Practices/Games,17.78
Extracurricular,Sports Practices/Games,16.09
Academic,Classes/Lectures,11.58
Well-being,Meditation/Yoga,13.97
Work,Work Meetings,15.58
Work,Part-time Job Shifts,11.95
Academic,Study Sessions,13.07
Extracurricular,Sports Practices/Games,16.95
Personal,Doctor/Dentist Appointments,10.17
Well-being,Exercise,7.36
Extracurricular,Club Meetings,19.44
Well-being,Meditation/Yoga,13.4
Extracurricular,Club Meetings,19.2
Social,Parties/Gatherings,22.03
Work,Work Meetings,16.05
Work,Work Meetings,16.91
Work,Work Meetings,15.66
Academic,Classes/Lectures,11.63
Well-being,Meditation/Yoga,14.01
Well-being,Meditation/Yoga,13.84
Work,Work Meetings,15.2
Work,Part-time Job Shifts,12.56
Extracurricular,Sports Practices/Games,17.95
Work,Part-time Job Shifts,9.74
Well-being,Exercise,6.7
Social,Family Events,14.14
Extracurricular,Volunteer Activities,14.18
Work,Work Meetings,16.93
Work,Work Meetings,15.97
Social,Family Events,14.32
Social,Parties/Gatherings,21.73
Work,Work Meetings,15.64
Social,Parties/Gatherings,21.87
Extracurricular,Club Meetings,20.47
Well-being,Meditation/Yoga,13.56
Well-being,Meditation/Yoga,14.88
Social,Parties/Gatherings,22.24
Social,Family Events,14.87
Well-being,Exercise,6.68
Social,Parties/Gatherings,21.75
Well-being,Exercise,6.86
Extracurricular,Sports Practices/Games,17.33
Well-being,Exercise,7.89
Work,Part-time Job Shifts,12.52
Well-being,Exercise,6.89
Academic,Exams/Quizzes,19.08
Academic,Study Sessions,13.94
Well-being,Meditation/Yoga,14.83
Social,Parties/Gatherings,22.78
Personal,Birthdays/Anniversaries,14.69
Well-being,Meditation/Yoga,13.55
Academic,Exams/Quizzes,18.16
Academic,Study Sessions,14.77
Personal,Errands/Chores,19.84
Personal,Birthdays/Anniversaries,14.59
Well-being,Exercise,7.64
Social,Parties/Gatherings,21.2
Extracurricular,Sports Practices/Games,17.24
Academic,Exams/Quizzes,19.11
Social,Parties/Gatherings,22.0
Extracurricular,Sports Practices/Games,16.34
Social,Family Events,14.31
Work,Part-time Job Shifts,11.96
Well-being,Exercise,6.71
Work,Part-time Job Shifts,12.24
Work,Work Meetings,15.25
Extracurricular,Volunteer Activities,14.16
Academic,Study Sessions,14.69
Well-being,Exercise,7.92
Extracurricular,Club Meetings,19.4
Social,Parties/Gatherings,22.66
Personal,Errands/Chores,18.88
Academic,Study Sessions,13.95
Social,Family Events,14.77
Extracurricular,Volunteer Activities,14.66
Well-being,Exercise,7.15
Social,Family Events,14.22
Personal,Birthdays/Anniversaries,14.43
Work,Work Meetings,15.42
Personal,Errands/Chores,18.23
Academic,Study Sessions,13.24
Academic,Exams/Quizzes,19.28
Academic,Classes/Lectures,11.89
Work,Part-time Job Shifts,11.89
Academic,Study Sessions,14.88
Extracurricular,Volunteer Activities,14.93
Extracurricular,Sports Practices/Games,16.91
Social,Family Events,14.02
Academic,Exams/Quizzes,18.26
Well-being,Meditation/Yoga,14.63
Work,Part-time Job Shifts,10.45
Work,Part-time Job Shifts,11.41
Well-being,Exercise,6.2
Extracurricular,Sports Practices/Games,16.99
Social,Family Events,14.37
Academic,Study Sessions,13.01
Academic,Classes/Lectures,10.01
Social,Parties/Gatherings,22.45
Extracurricular,Sports Practices/Games,16.8
Well-being,Meditation/Yoga,13.35
Extracurricular,Club Meetings,20.55
Academic,Classes/Lectures,8.97
Personal,Errands/Chores,19.31
Work,Work Meetings,16.64
Well-being,Exercise,7.31
Personal,Birthdays/Anniversaries,14.78
Extracurricular,Volunteer Activities,14.52
Academic,Exams/Quizzes,18.18
Work,Work Meetings,15.22
Well-being,Exercise,7.9
Academic,Exams/Quizzes,19.18
Well-being,Exercise,7.92
Extracurricular,Club Meetings,20.85
Extracurricular,Sports Practices/Games,16.64
Social,Family Events,14.39
Well-being,Exercise,7.25
Social,Parties/Gatherings,22.95
Academic,Study Sessions,13.99
Extracurricular,Club Meetings,19.5
Well-being,Exercise,6.8
Social,Parties/Gatherings,22.67
Work,Part-time Job Shifts,10.83
Social,Family Events,14.02
Academic,Study Sessions,14.51
Personal,Birthdays/Anniversaries,14.42
Personal,Doctor/Dentist Appointments,9.47
Work,Work Meetings,16.16
Well-being,Meditation/Yoga,14.31
Personal,Doctor/Dentist Appointments,10.34
Personal,Doctor/Dentist Appointments,9.69
Personal,Doctor/Dentist Appointments,11.98
Well-being,Exercise,6.38
Extracurricular,Sports Practices/Games,17.04
Personal,Birthdays/Anniversaries,14.76
Personal,Errands/Chores,18.51
Work,Part-time Job Shifts,12.57
Well-being,Exercise,6.26
Extracurricular,Club Meetings,19.2
Extracurricular,Volunteer Activities,14.65
Extracurricular,Volunteer Activities,14.97
Social,Parties/Gatherings,22.95
Personal,Errands/Chores,18.65
Well-being,Meditation/Yoga,13.11
Work,Work Meetings,16.93
Well-being,Exercise,7.58
Extracurricular,Volunteer Activities,14.54
Academic,Study Sessions,14.35
Extracurricular,Club Meetings,20.7
Extracurricular,Volunteer Activities,14.54
Work,Part-time Job Shifts,11.55
Personal,Doctor/Dentist Appointments,10.06
Academic,Classes/Lectures,9.74
Extracurricular,Volunteer Activities,14.24
Social,Parties/Gatherings,21.31
Extracurricular,Volunteer Activities,14.09
Academic,Exams/Quizzes,18.04
Well-being,Exercise,7.71
Academic,Study Sessions,13.52
Well-being,Meditation/Yoga,14.02
Personal,Doctor/Dentist Appointments,9.33
Work,Work Meetings,16.18
Social,Parties/Gatherings,22.0
Personal,Doctor/Dentist Appointments,9.62
Personal,Errands/Chores,19.11
Well-being,Exercise,7.13
Personal,Doctor/Dentist Appointments,11.03
Social,Family Events,14.23
Extracurricular,Club Meetings,19.78
Work,Work Meetings,16.63
Well-being,Exercise,6.37
Work,Work Meetings,16.97
Well-being,Meditation/Yoga,13.87
Personal,Birthdays/Anniversaries,14.97
Work,Work Meetings,16.88
Social,Family Events,14.88
Personal,Doctor/Dentist Appointments,9.1
Personal,Errands/Chores,19.77
Well-being,Meditation/Yoga,13.41
Extracurricular,Club Meetings,20.78
Work,Work Meetings,16.11
Personal,Errands/Chores,19.71
Academic,Classes/Lectures,11.78
Social,Parties/Gatherings,22.95
Social,Parties/Gatherings,22.21
Personal,Doctor/Dentist Appointments,10.94
Academic,Exams/Quizzes,19.51
Personal,Doctor/Dentist Appointments,9.68
Social,Parties/Gatherings,21.94
Personal,Errands/Chores,18.04
Social,Parties/Gatherings,21.15
Social,Parties/Gatherings,21.08
Work,Part-time Job Shifts,9.88
Work,Work Meetings,15.28
Academic,Exams/Quizzes,19.82
Social,Parties/Gatherings,22.08
Work,Work Meetings,16.89
Extracurricular,Volunteer Activities,14.81
Personal,Errands/Chores,19.05
Academic,Classes/Lectures,8.27
Personal,Errands/Chores,19.84
Work,Part-time Job Shifts,11.56
Work,Part-time Job Shifts,9.13
Well-being,Exercise,7.22
Social,Family Events,14.63
Extracurricular,Sports Practices/Games,17.53
Personal,Errands/Chores,18.61
Personal,Errands/Chores,19.96
Personal,Birthdays/Anniversaries,14.48
Academic,Study Sessions,13.89
Personal,Doctor/Dentist Appointments,10.67
Personal,Birthdays/Anniversaries,14.18
Well-being,Exercise,7.33
Extracurricular,Volunteer Activities,14.24
Social,Parties/Gatherings,22.03
Personal,Doctor/Dentist Appointments,9.56
Well-being,Meditation/Yoga,14.88
Personal,Errands/Chores,19.73
Personal,Birthdays/Anniversaries,14.98
Extracurricular,Volunteer Activities,14.97
Academic,Study Sessions,13.22
Extracurricular,Sports Practices/Games,16.33
Well-being,Exercise,6.34
Social,Family Events,14.94
Extracurricular,Sports Practices/Games,16.9
Personal,Errands/Chores,18.84
Personal,Errands/Chores,19.01
Academic,Classes/Lectures,8.63
Work,Work Meetings,15.21
Academic,Classes/Lectures,8.95
Extracurricular,Sports Practices/Games,16.33
Personal,Birthdays/Anniversaries,14.44
Personal,Birthdays/Anniversaries,14.21
Personal,Birthdays/Anniversaries,14.9
Extracurricular,Sports Practices/Games,16.33
Personal,Birthdays/Anniversaries,14.91
Extracurricular,Volunteer Activities,14.22
Work,Part-time Job Shifts,12.09
Work,Work Meetings,15.83
Social,Family Events,14.27
Academic,Classes/Lectures,11.82
Academic,Study Sessions,14.26
Academic,Classes/Lectures,8.53
Social,Parties/Gatherings,21.13
Personal,Errands/Chores,19.57
Academic,Classes/Lectures,9.19
Social,Parties/Gatherings,22.06
Academic,Exams/Quizzes,19.33
Work,Part-time Job Shifts,11.76
Extracurricular,Volunteer Activities,14.03
Academic,Study Sessions,14.42
Well-being,Exercise,6.31
Well-being,Meditation/Yoga,14.51
Academic,Study Sessions,13.47
Extracurricular,Sports Practices/Games,16.27
Social,Family Events,14.53
Extracurricular,Sports Practices/Games,17.78
